adapt_UBM,delta,emo_rank,enrm_threshold,n_components,n_static,score_norm,spk_norm,test,test_std,train,train_std,tv_rank,utt_norm
True,Delta.sdc,7,-1000,64,25,NormalizationMethod.none,NormalizationMethod.length_norm,0.837837837837838,0.027027027027027,0.994369369369369,0.001950507666181,75,NormalizationMethod.cmvn
True,Delta.sdc,8,-1000,64,25,NormalizationMethod.none,NormalizationMethod.length_norm,0.824324324324324,0.021366740947084,0.994369369369369,0.001950507666181,75,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,16,40,NormalizationMethod.none,NormalizationMethod.none,0.780405405405405,0.03494621767834,0.961711711711712,0.009817339962929,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,32,40,NormalizationMethod.none,NormalizationMethod.none,0.837837837837838,0.031691998377185,0.983108108108108,0.003734937826977,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,64,40,NormalizationMethod.none,NormalizationMethod.none,0.827702702702703,0.017554568995631,0.993243243243243,0.002252252252252,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,40,NormalizationMethod.none,NormalizationMethod.none,0.878378378378378,0.021366740947084,1,0,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,256,40,NormalizationMethod.none,NormalizationMethod.none,0.844594594594595,0.036386248696855,1,0,80,NormalizationMethod.cmvn
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.804054054054054,0.027858821794714,1,0,75,NormalizationMethod.cms
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.834459459459459,0.014726009944394,1,0,75,NormalizationMethod.cms
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.847972972972973,0.044178029833183,1,0,75,NormalizationMethod.none
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.827702702702703,0.029257614992718,1,0,75,NormalizationMethod.none
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.834459459459459,0.014726009944394,1,0,75,NormalizationMethod.cms
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.810810810810811,0.054892151382675,1,0,75,NormalizationMethod.none
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.814189189189189,0.057630817936595,1,0,75,NormalizationMethod.none
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.810810810810811,0.041651445966007,0.998873873873874,0.001950507666181,75,NormalizationMethod.none
